handle,title,type,potrzeba_proposed,uzycie_proposed,other_tags,source_dzialanie
fiszka-gozdzik,"Fiszka Goździk",Kompendium,,,,""
fiszka-grejpfrut,"Fiszka Grejpfrut",Kompendium,,,,""
fiszka-imbir,"Fiszka Imbir",Kompendium,,,,""
fiszka-kadzidlowiec,"Fiszka Kadzidłowiec",Kompendium,,,,""
fiszka-kocanki-wloskie,"Fiszka Kocanki włoskie",Kompendium,,,,""
fiszka-kurkuma,"Fiszka Kurkuma",Kompendium,,,,""
fiszka-laur,"Fiszka Laur",Kompendium,,,,""
fiszka-lawenda-waskolistna,"Fiszka Lawenda wąskolistna",Kompendium,,,,""
fiszka-manuka,"Fiszka Manuka",Kompendium,,,,""
fiszka-mieta-pieprzowa,"Fiszka Mięta pieprzowa",Kompendium,,,,""
fiszka-oregano,"Fiszka Oregano",Kompendium,,,,""
fiszka-paczula,"Fiszka Paczula",Kompendium,,,,""
fiszka-palmarosa,"Fiszka Palmarosa",Kompendium,,,,""
fiszka-palo-santo,"Fiszka Palo santo",Kompendium,,,,""
fiszka-pomarancza-slodka,"Fiszka Pomarańcza słodka",Kompendium,,,,""
fiszka-ravintsara,"Fiszka Ravintsara",Kompendium,,,,""
fiszka-roza-damascenska,"Fiszka Róża damasceńska",Kompendium,,,,""
fiszka-rozmaryn-ct-cyneol,"Fiszka Rozmaryn ct. cyneol",Kompendium,,,,""
fiszka-rozmaryn-ct-werbenon,"Fiszka Rozmaryn ct. werbenon",Kompendium,,,,""
fiszka-rumianek-rzymski,"Fiszka Rumianek rzymski",Kompendium,,,,""
fiszka-rumianek-niemiecki,"Fiszka Rumianek niemiecki",Kompendium,,,,""
fiszka-saro,"Fiszka Saro",Kompendium,,,,""
fiszka-sosna-zwyczajna,"Fiszka Sosna zwyczajna",Kompendium,,,,""
fiszka-trawa-cytrynowa,"Fiszka Trawa cytrynowa",Kompendium,,,,""
fiszka-tymianek-ct-linalol,"Fiszka Tymianek ct. linalol",Kompendium,,,,""
fiszka-tymianek-ct-tymol,"Fiszka Tymianek ct. tymol",Kompendium,,,,""
fiszka-wetiweria,"Fiszka Wetiweria",Kompendium,,,,""
fiszka-ylang-ylang,"Fiszka Ylang-ylang",Kompendium,,,,""
kompendium-aromaterapii-olejki-eteryczne-papier,"Kompendium Aromaterapii Olejki eteryczne papier",Kompendium,,,,""
szalwia-swieta,"Szałwia święta (muszkatołowa)",Kompendium,,,,""
olej-arganowy-bio,"Olej Arganowy BIO",Olej roślinny,,,bio,""
hydrolat-werbena-bio,"Hydrolat Werbena BIO",Hydrolat,,,bio,""
dyfuzor-nebulizator-movisia-v2,"Dyfuzor - nebulizator Movisia V2",Dyfuzor,dom,,,""
dyfuzor-ultradzwiekowy-purisia,"Dyfuzor ultradźwiękowy Purisia",Dyfuzor,dom,,,""
